"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000168938",280.585894719054,-0.374699695421059,0.16767159163409,-2.23472379411037,0.0254354875099524,0.0599176454584758
"ENSG00000168939",32.777274334818,0.0338289875193867,0.222194600393366,0.1522493681642,0.87899025761476,0.923189597986748
"ENSG00000168944",170.55917160757,0.0199514716816015,0.120748280357267,0.165231932269093,0.868761432369857,0.916406458415812
"ENSG00000168952",206.430006003537,0.488150907387145,0.198881026267407,2.45448706972579,0.0141085738354047,0.0372202842817291
"ENSG00000168955",128.149600304176,-0.536858091649817,0.51321439157634,-1.04606983058455,0.295528793089866,0.423544339445638
"ENSG00000168958",421.097070309462,0.118524216162258,0.0691557952759188,1.71387250611996,0.0865521434766001,0.162435043498525
"ENSG00000168959",0.175194757691659,-0.471519362059341,3.56301155146209,-0.132337309393749,0.894717498247035,NA
"ENSG00000168961",917.843666577754,-0.608000685481649,0.190481927494557,-3.1919074606121,0.00141336606502494,0.00570394161956494
"ENSG00000168967",0,NA,NA,NA,NA,NA
"ENSG00000168970",46.0514495699944,-0.219836512005591,0.159041023505553,-1.38226293543638,0.166890982148027,0.273259213273565
"ENSG00000168992",0.170067604743032,-0.408076040484378,3.56319101545741,-0.114525446071825,0.908821276054542,NA
"ENSG00000168993",31.428807324112,0.933094928658067,0.259730718269573,3.59254744635023,0.000327461006980481,0.00175299292438347
"ENSG00000168994",216.619845423243,0.166423465827619,0.340042137051893,0.489420126783353,0.624544289747564,0.734557635982325
"ENSG00000168995",23.959311098136,-0.228987963612805,0.284158486844546,-0.805845942366934,0.42033168399227,0.552876660085864
"ENSG00000169006",0.0125945880250555,-0.090942197794347,3.56546679583007,-0.025506393132228,0.979651049165427,NA
"ENSG00000169016",61.0028582813126,0.756487776287617,0.12358881340333,6.12100525489174,9.29868373533654e-10,1.03635740918764e-07
"ENSG00000169018",552.349084314012,-0.391780463151082,0.116626926434412,-3.35926252306245,0.000781507878120362,0.00355618097013171
"ENSG00000169019",104.676631981416,-0.0360804257090492,0.115189045402006,-0.313227925304266,0.754107503810716,0.834750836871291
"ENSG00000169020",429.77286791511,-0.415831724894087,0.149568276769008,-2.78021338399381,0.00543231898926606,0.016979388127802
"ENSG00000169021",472.386510458573,-0.604279147728424,0.131625879178452,-4.59088403815461,4.41372523851786e-06,5.83429220805546e-05
"ENSG00000169026",60.7040162320995,-0.83124628438988,0.173130898287842,-4.80125900466291,1.57671179722639e-06,2.66974551139103e-05
"ENSG00000169031",16.6255006563534,-1.55206613175701,0.363593203431507,-4.26868851537646,1.96625613095902e-05,0.000189993585290767
"ENSG00000169032",457.398937917735,0.0323929022844256,0.0951397973367181,0.340476889705586,0.733497423662877,0.820576647607692
"ENSG00000169035",29.578963709845,3.41133689011517,1.08495134172978,3.14423030684155,0.00166524326490157,0.00655621543829625
"ENSG00000169040",0,NA,NA,NA,NA,NA
"ENSG00000169045",2915.74274817403,-0.0107093549245133,0.0767024223331372,-0.139622121424014,0.888958561457199,0.929396923158028
"ENSG00000169047",435.977435537359,0.264016528174219,0.186897514490173,1.41262728343079,0.157765342553194,0.261901413387632
"ENSG00000169057",436.823333919761,-0.0380773321649812,0.116398606397392,-0.327128763337448,0.743570497581846,0.827364547090522
"ENSG00000169059",0.0459145983619926,-0.13020955019964,3.56467070554046,-0.0365277920334293,0.970861518653851,NA
"ENSG00000169062",365.481058416322,0.367130484154727,0.123992359282472,2.96091215845286,0.0030672940798344,0.0108149532539687
"ENSG00000169064",0.133443619173524,-0.101888933796925,3.56377500660452,-0.0285901701448886,0.977191451969262,NA
"ENSG00000169067",0.168564813332429,0.095876359955851,3.56339991698436,0.0269058657993654,0.978534814981103,NA
"ENSG00000169071",96.0965443079919,0.311292339712825,0.365890107650801,0.850780967300479,0.394891036159304,0.52721258125896
"ENSG00000169075",0.0492480849851143,-0.026172626748955,3.56577878304893,-0.00733994685070622,0.994143622315971,NA
"ENSG00000169083",108.827783237685,-0.693270669007912,0.486655270062424,-1.42456213187414,0.154283812927297,0.25746140949164
"ENSG00000169084",182.429621767543,-0.0546304260435374,0.135978205608565,-0.401758692130413,0.687861625368218,0.785024853976129
"ENSG00000169085",0.27448953070371,-0.145521316680515,3.56108697081651,-0.0408642972982905,0.967404080287718,NA
"ENSG00000169087",59.7772788011972,0.315979336106611,0.132650586702156,2.38204250702703,0.0172169099759209,0.043705703452135
"ENSG00000169093",267.393552505057,-0.0267085904949573,0.150391297584773,-0.177593989305811,0.859041845344343,0.910318847239531
"ENSG00000169100",5727.51317282457,-0.0791424124690386,0.134948241717812,-0.586464939902899,0.55756311542805,0.677926227299433
"ENSG00000169105",77.5302177197753,0.184828972702786,0.18173212397617,1.01704073368461,0.309134052179008,0.437753833178732
"ENSG00000169116",3390.5182536268,-1.42369681710711,0.355110637654899,-4.00916409181377,6.09340643569273e-05,0.000465939424443572
"ENSG00000169118",157.59682261116,-0.207642070325891,0.101775569491438,-2.04019561239949,0.0413308465897789,0.088900930034221
"ENSG00000169122",21.6076151194784,-0.34507966233247,0.312944395042534,-1.10268682807234,0.270163188858531,0.396116003703912
"ENSG00000169126",3.35801247287995,0.143177031468027,0.513993375416957,0.278558126068999,0.780583951664827,0.85431993544249
"ENSG00000169129",190.271869898597,-0.151179221401621,0.195078614022122,-0.774965631980945,0.438359968013655,0.569636910998098
"ENSG00000169131",50.5409441417019,0.262668715506373,0.106342748046622,2.47002000918027,0.0135105494871325,0.0359162981954941
"ENSG00000169136",503.889897743067,-0.223630046534808,0.272491005628744,-0.820687809562027,0.411824116289322,0.544282165388227
"ENSG00000169139",432.275237663792,0.438729288725058,0.128336549619065,3.41858410583201,0.000629478601763976,0.00297412189544234
"ENSG00000169154",0.0157247653626342,-0.0786304303636218,3.56577878304894,-0.0220514045171328,0.982406950615703,NA
"ENSG00000169155",159.813781740922,-0.0226709296912445,0.0978132634284521,-0.231777663852589,0.816710706351694,0.880607802495215
"ENSG00000169169",23.0151218091192,0.718227327031631,0.3090573207354,2.32392918350102,0.0201292898400161,0.0495459989381925
"ENSG00000169174",294.139817349734,1.89268071430915,0.437733453573878,4.32382012125494,1.53350347951196e-05,0.000156297606995253
"ENSG00000169180",957.327279050763,0.104093553717697,0.0677931673268461,1.53545789084966,0.124671393008892,0.218299032286742
"ENSG00000169181",2.18070821258144,-2.88814139963962,0.578191177844626,-4.99513225090358,5.87954617387052e-07,1.23982623860001e-05
"ENSG00000169184",45.8582764658426,0.100094401623455,0.328492488373095,0.304708342401333,0.760588295275145,0.83895693741304
"ENSG00000169188",264.256884061433,0.0409550189327208,0.103203823486812,0.396836256148535,0.691488212741515,0.787892738444782
"ENSG00000169189",312.51249680692,0.246535744770954,0.107477357795193,2.29383890549997,0.0217997537650603,0.0529283188995915
"ENSG00000169193",73.8810376317658,0.0600510380559107,0.126518102097445,0.474643841951242,0.635040851655158,0.743141656823642
"ENSG00000169194",0.946339088648736,0.729164450217015,1.14662604294209,0.635921759064599,0.524827419626971,0.649873812660382
"ENSG00000169203",1.10357359926413,-0.731236773926955,0.678491882086812,-1.07773842728658,0.281150504387074,0.408070734759296
"ENSG00000169208",0.0204283482683995,-0.393394251281409,3.56577878304886,-0.110324917841663,0.91215169630431,NA
"ENSG00000169213",81.0439321170291,-0.991108268889744,0.310616533777173,-3.19077757013648,0.0014189047194821,0.00572061882938868
